dcid,year,unemploymentPercentOfLaborForce
country/HRV,1991,13.159
country/HRV,1992,15.253
country/HRV,1993,14.775
country/HRV,1994,14.48
country/HRV,1995,14.5
country/HRV,1996,9.952
country/HRV,1997,9.906
country/HRV,1998,11.637
country/HRV,1999,18.633
country/HRV,2000,20.592
country/HRV,2001,21.508
country/HRV,2002,21.783
country/HRV,2003,19.067
country/HRV,2004,17.783
country/HRV,2005,17.583
country/HRV,2006,16.525
country/HRV,2007,14.733
country/HRV,2008,13.033
country/HRV,2009,14.517
country/HRV,2010,17.167
country/HRV,2011,17.367
country/HRV,2012,18.6
country/HRV,2013,19.808
country/HRV,2014,19.275
country/HRV,2015,17.067
country/HRV,2016,14.958
country/HRV,2017,12.433
country/HRV,2018,9.858
country/HRV,2019,7.758
country/HRV,2020,9.0
country/HRV,2021,8.092
country/HRV,2022,6.783
country/HRV,2023,6.319
country/HRV,2024,5.858
country/HRV,2025,5.581
country/HRV,2026,5.581
country/HRV,2027,5.581
country/HRV,2028,5.581
country/SVN,1992,7.836
country/SVN,1993,8.591
country/SVN,1994,8.497
country/SVN,1995,7.0
country/SVN,1996,6.892
country/SVN,1997,6.917
country/SVN,1998,7.367
country/SVN,1999,7.408
country/SVN,2000,6.742
country/SVN,2001,6.192
country/SVN,2002,6.342
country/SVN,2003,6.725
country/SVN,2004,6.325
country/SVN,2005,6.55
country/SVN,2006,6.0
country/SVN,2007,4.875
country/SVN,2008,4.425
country/SVN,2009,5.9
country/SVN,2010,7.25
country/SVN,2011,8.225
country/SVN,2012,8.9
country/SVN,2013,10.1
country/SVN,2014,9.75
country/SVN,2015,9.0
country/SVN,2016,8.025
country/SVN,2017,6.575
country/SVN,2018,5.125
country/SVN,2019,4.45
country/SVN,2020,5.0
country/SVN,2021,4.725
country/SVN,2022,4.0
country/SVN,2023,3.627
country/SVN,2024,3.776
country/SVN,2025,3.894
country/SVN,2026,4.005
country/SVN,2027,3.98
country/SVN,2028,3.999
country/MKD,1996,31.992
country/MKD,1997,36.104
country/MKD,1998,34.481
country/MKD,1999,32.411
country/MKD,2000,31.727
country/MKD,2001,30.515
country/MKD,2002,31.944
country/MKD,2003,36.687
country/MKD,2004,37.15
country/MKD,2005,37.25
country/MKD,2006,36.025
country/MKD,2007,34.925
country/MKD,2008,33.775
country/MKD,2009,32.175
country/MKD,2010,32.05
country/MKD,2011,31.375
country/MKD,2012,31.0
country/MKD,2013,29.0
country/MKD,2014,28.025
country/MKD,2015,26.05
country/MKD,2016,23.75
country/MKD,2017,22.375
country/MKD,2018,20.725
country/MKD,2019,17.25
country/MKD,2020,16.375
country/MKD,2021,15.425
country/MKD,2022,14.375
country/MKD,2023,14.3
country/MKD,2024,14.1
country/MKD,2025,14.0
country/MKD,2026,13.9
country/MKD,2027,13.9
country/MKD,2028,13.9
country/BIH,1995,70.0
country/BIH,1996,50.0
country/BIH,1997,32.296
country/BIH,1998,29.334
country/BIH,1999,31.1
country/BIH,2000,31.1
country/BIH,2001,31.1
country/BIH,2002,31.1
country/BIH,2003,31.1
country/BIH,2004,31.1
country/BIH,2005,31.1
country/BIH,2006,31.1
country/BIH,2007,29.0
country/BIH,2008,23.4
country/BIH,2009,24.1
country/BIH,2010,27.2
country/BIH,2011,27.6
country/BIH,2012,28.0
country/BIH,2013,27.5
country/BIH,2014,27.5
country/BIH,2015,27.7
country/BIH,2016,25.4
country/BIH,2017,20.5
country/BIH,2018,18.4
country/BIH,2019,15.7
country/BIH,2020,15.9
country/BIH,2021,17.4
country/BIH,2022,15.4
country/BIH,2023,15.3
country/BIH,2024,15.265
country/BIH,2025,15.225
country/BIH,2026,15.235
country/BIH,2027,15.245
country/BIH,2028,15.255
country/POL,1990,6.3
country/POL,1991,11.8
country/POL,1992,13.6
country/POL,1993,16.4
country/POL,1994,11.4
country/POL,1995,13.341
country/POL,1996,12.343
country/POL,1997,11.246
country/POL,1998,10.576
country/POL,1999,13.133
country/POL,2000,16.087
country/POL,2001,18.242
country/POL,2002,20.235
country/POL,2003,19.942
country/POL,2004,19.276
country/POL,2005,18.052
country/POL,2006,14.169
country/POL,2007,9.944
country/POL,2008,7.466
country/POL,2009,8.514
country/POL,2010,9.635
country/POL,2011,9.632
country/POL,2012,10.088
country/POL,2013,10.328
country/POL,2014,8.988
country/POL,2015,7.499
country/POL,2016,6.161
country/POL,2017,4.888
country/POL,2018,3.846
country/POL,2019,3.279
country/POL,2020,3.163
country/POL,2021,3.362
country/POL,2022,2.887
country/POL,2023,2.79
country/POL,2024,2.897
country/POL,2025,2.956
country/POL,2026,3.014
country/POL,2027,3.17
country/POL,2028,3.229
country/XKX,2012,30.9
country/XKX,2013,30.0
country/XKX,2014,35.3
country/XKX,2015,32.9
country/XKX,2016,27.525
country/XKX,2017,30.475
country/XKX,2018,29.5
country/XKX,2019,25.65
country/XKX,2020,25.95
country/XKX,2021,20.75
country/ROU,1985,4.0
country/ROU,1986,3.9
country/ROU,1987,3.7
country/ROU,1988,3.7
country/ROU,1989,3.4
country/ROU,1990,3.4
country/ROU,1991,3.5
country/ROU,1992,5.441
country/ROU,1993,9.206
country/ROU,1994,10.994
country/ROU,1995,9.882
country/ROU,1996,7.323
country/ROU,1997,7.85
country/ROU,1998,9.611
country/ROU,1999,7.175
country/ROU,2000,7.592
country/ROU,2001,7.392
country/ROU,2002,8.317
country/ROU,2003,7.75
country/ROU,2004,7.983
country/ROU,2005,7.125
country/ROU,2006,7.175
country/ROU,2007,6.342
country/ROU,2008,5.6
country/ROU,2009,8.425
country/ROU,2010,9.025
country/ROU,2011,9.092
country/ROU,2012,8.692
country/ROU,2013,8.992
country/ROU,2014,8.592
country/ROU,2015,8.392
country/ROU,2016,7.2
country/ROU,2017,6.092
country/ROU,2018,5.25
country/ROU,2019,4.892
country/ROU,2020,6.075
country/ROU,2021,5.608
country/ROU,2022,5.625
country/ROU,2023,5.6
country/ROU,2024,5.4
country/ROU,2025,5.3
country/ROU,2026,5.2
country/ROU,2027,5.1
country/ROU,2028,5.0
